custom_id,model,item,framing,sample,order,status,result_type,stop_reason,letter,choice,model_returned,input_tokens,output_tokens,cost_usd,text
r1-m0-Q05-u-s1,claude-opus-4-6,Q05,unlabeled,1,BA,ok,succeeded,end_turn,B,a,claude-opus-4-6,62,4,0.000205,B
r1-m0-Q05-u-s2,claude-opus-4-6,Q05,unlabeled,2,AB,ok,succeeded,end_turn,B,b,claude-opus-4-6,62,4,0.000205,B
r1-m0-Q05-u-s3,claude-opus-4-6,Q05,unlabeled,3,BA,ok,succeeded,end_turn,B,a,claude-opus-4-6,62,4,0.000205,B
r1-m0-Q06-l-s0,claude-opus-4-6,Q06,labeled,0,AB,ok,succeeded,end_turn,B,b,claude-opus-4-6,71,4,0.000228,B
r1-m0-Q06-l-s1,claude-opus-4-6,Q06,labeled,1,BA,ok,succeeded,end_turn,A,b,claude-opus-4-6,71,4,0.000228,A
r1-m0-Q06-l-s2,claude-opus-4-6,Q06,labeled,2,AB,ok,succeeded,end_turn,B,b,claude-opus-4-6,71,4,0.000228,B
r1-m0-Q06-l-s3,claude-opus-4-6,Q06,labeled,3,BA,ok,succeeded,end_turn,A,b,claude-opus-4-6,71,4,0.000228,A
r1-m0-Q06-u-s0,claude-opus-4-6,Q06,unlabeled,0,AB,ok,succeeded,end_turn,B,b,claude-opus-4-6,56,4,0.00019,B
r1-m0-Q06-u-s1,claude-opus-4-6,Q06,unlabeled,1,BA,ok,succeeded,end_turn,A,b,claude-opus-4-6,56,4,0.00019,A
r1-m0-Q06-u-s2,claude-opus-4-6,Q06,unlabeled,2,AB,ok,succeeded,end_turn,B,b,claude-opus-4-6,56,4,0.00019,B
r1-m0-Q06-u-s3,claude-opus-4-6,Q06,unlabeled,3,BA,ok,succeeded,end_turn,A,b,claude-opus-4-6,56,4,0.00019,A
r1-m0-Q08-l-s0,claude-opus-4-6,Q08,labeled,0,AB,ok,succeeded,end_turn,A,a,claude-opus-4-6,58,4,0.000195,A
r1-m0-Q08-l-s1,claude-opus-4-6,Q08,labeled,1,BA,ok,succeeded,end_turn,B,a,claude-opus-4-6,58,4,0.000195,B
r1-m0-Q08-l-s2,claude-opus-4-6,Q08,labeled,2,AB,ok,succeeded,end_turn,A,a,claude-opus-4-6,58,4,0.000195,A
r1-m0-Q08-l-s3,claude-opus-4-6,Q08,labeled,3,BA,ok,succeeded,end_turn,B,a,claude-opus-4-6,58,4,0.000195,B
r1-m0-Q08-u-s0,claude-opus-4-6,Q08,unlabeled,0,AB,ok,succeeded,end_turn,A,a,claude-opus-4-6,43,4,0.000158,A
r1-m0-Q08-u-s1,claude-opus-4-6,Q08,unlabeled,1,BA,ok,succeeded,end_turn,B,a,claude-opus-4-6,43,4,0.000158,B
r1-m0-Q08-u-s2,claude-opus-4-6,Q08,unlabeled,2,AB,ok,succeeded,end_turn,A,a,claude-opus-4-6,43,4,0.000158,A
r1-m0-Q08-u-s3,claude-opus-4-6,Q08,unlabeled,3,BA,ok,succeeded,end_turn,B,a,claude-opus-4-6,43,4,0.000158,B
r1-m0-Q09-l-s0,claude-opus-4-6,Q09,labeled,0,AB,ok,succeeded,end_turn,A,a,claude-opus-4-6,61,4,0.000202,A
r1-m0-Q09-l-s1,claude-opus-4-6,Q09,labeled,1,BA,ok,succeeded,end_turn,A,b,claude-opus-4-6,61,4,0.000202,A
r1-m0-Q09-l-s2,claude-opus-4-6,Q09,labeled,2,AB,ok,succeeded,end_turn,A,a,claude-opus-4-6,61,4,0.000202,A
r1-m0-Q09-l-s3,claude-opus-4-6,Q09,labeled,3,BA,ok,succeeded,end_turn,B,a,claude-opus-4-6,61,4,0.000202,B
r1-m0-Q09-u-s0,claude-opus-4-6,Q09,unlabeled,0,AB,ok,succeeded,end_turn,A,a,claude-opus-4-6,46,4,0.000165,A
r1-m0-Q09-u-s1,claude-opus-4-6,Q09,unlabeled,1,BA,ok,succeeded,end_turn,B,a,claude-opus-4-6,46,4,0.000165,B
r1-m0-Q09-u-s2,claude-opus-4-6,Q09,unlabeled,2,AB,ok,succeeded,end_turn,A,a,claude-opus-4-6,46,4,0.000165,A
r1-m0-Q09-u-s3,claude-opus-4-6,Q09,unlabeled,3,BA,ok,succeeded,end_turn,B,a,claude-opus-4-6,46,4,0.000165,B
r1-m0-Q10-l-s0,claude-opus-4-6,Q10,labeled,0,AB,ok,succeeded,end_turn,A,a,claude-opus-4-6,53,4,0.000182,A
r1-m0-Q10-l-s1,claude-opus-4-6,Q10,labeled,1,BA,ok,succeeded,end_turn,B,a,claude-opus-4-6,53,4,0.000182,B
r1-m0-Q10-l-s2,claude-opus-4-6,Q10,labeled,2,AB,ok,succeeded,end_turn,A,a,claude-opus-4-6,53,4,0.000182,A
r1-m0-Q10-l-s3,claude-opus-4-6,Q10,labeled,3,BA,ok,succeeded,end_turn,B,a,claude-opus-4-6,53,4,0.000182,B
r1-m0-Q10-u-s0,claude-opus-4-6,Q10,unlabeled,0,AB,ok,succeeded,end_turn,A,a,claude-opus-4-6,38,4,0.000145,A
r1-m0-Q10-u-s1,claude-opus-4-6,Q10,unlabeled,1,BA,ok,succeeded,end_turn,B,a,claude-opus-4-6,38,4,0.000145,B
r1-m0-Q10-u-s2,claude-opus-4-6,Q10,unlabeled,2,AB,ok,succeeded,end_turn,A,a,claude-opus-4-6,38,4,0.000145,A
r1-m0-Q10-u-s3,claude-opus-4-6,Q10,unlabeled,3,BA,ok,succeeded,end_turn,B,a,claude-opus-4-6,38,4,0.000145,B
r1-m0-Q12-l-s0,claude-opus-4-6,Q12,labeled,0,AB,ok,succeeded,end_turn,B,b,claude-opus-4-6,60,4,0.0002,B
r1-m0-Q12-l-s1,claude-opus-4-6,Q12,labeled,1,BA,ok,succeeded,end_turn,A,b,claude-opus-4-6,60,4,0.0002,A
r1-m0-Q12-l-s2,claude-opus-4-6,Q12,labeled,2,AB,ok,succeeded,end_turn,B,b,claude-opus-4-6,60,4,0.0002,B
r1-m0-Q12-l-s3,claude-opus-4-6,Q12,labeled,3,BA,ok,succeeded,end_turn,A,b,claude-opus-4-6,60,4,0.0002,A
r1-m0-Q12-u-s0,claude-opus-4-6,Q12,unlabeled,0,AB,ok,succeeded,end_turn,B,b,claude-opus-4-6,45,4,0.000162,B
r1-m0-Q12-u-s1,claude-opus-4-6,Q12,unlabeled,1,BA,ok,succeeded,end_turn,A,b,claude-opus-4-6,45,4,0.000162,A
r1-m0-Q12-u-s2,claude-opus-4-6,Q12,unlabeled,2,AB,ok,succeeded,end_turn,B,b,claude-opus-4-6,45,4,0.000162,B
r1-m0-Q12-u-s3,claude-opus-4-6,Q12,unlabeled,3,BA,ok,succeeded,end_turn,A,b,claude-opus-4-6,45,4,0.000162,A
r1-m0-Q15-l-s0,claude-opus-4-6,Q15,labeled,0,AB,ok,succeeded,end_turn,A,a,claude-opus-4-6,60,4,0.0002,A
r1-m0-Q15-l-s1,claude-opus-4-6,Q15,labeled,1,BA,ok,succeeded,end_turn,B,a,claude-opus-4-6,60,4,0.0002,B
r1-m0-Q15-l-s2,claude-opus-4-6,Q15,labeled,2,AB,ok,succeeded,end_turn,A,a,claude-opus-4-6,60,4,0.0002,A
r1-m0-Q15-l-s3,claude-opus-4-6,Q15,labeled,3,BA,ok,succeeded,end_turn,B,a,claude-opus-4-6,60,4,0.0002,B
r1-m0-Q15-u-s0,claude-opus-4-6,Q15,unlabeled,0,AB,ok,succeeded,end_turn,A,a,claude-opus-4-6,45,4,0.000162,A
r1-m0-Q15-u-s1,claude-opus-4-6,Q15,unlabeled,1,BA,ok,succeeded,end_turn,B,a,claude-opus-4-6,45,4,0.000162,B
r1-m0-Q15-u-s2,claude-opus-4-6,Q15,unlabeled,2,AB,ok,succeeded,end_turn,A,a,claude-opus-4-6,45,4,0.000162,A
r1-m0-Q15-u-s3,claude-opus-4-6,Q15,unlabeled,3,BA,ok,succeeded,end_turn,B,a,claude-opus-4-6,45,4,0.000162,B
r1-m0-Q17-l-s0,claude-opus-4-6,Q17,labeled,0,AB,ok,succeeded,end_turn,A,a,claude-opus-4-6,68,4,0.00022,A
r1-m0-Q17-l-s1,claude-opus-4-6,Q17,labeled,1,BA,ok,succeeded,end_turn,A,b,claude-opus-4-6,68,4,0.00022,A
r1-m0-Q17-l-s2,claude-opus-4-6,Q17,labeled,2,AB,ok,succeeded,end_turn,A,a,claude-opus-4-6,68,4,0.00022,A
r1-m0-Q17-l-s3,claude-opus-4-6,Q17,labeled,3,BA,ok,succeeded,end_turn,A,b,claude-opus-4-6,68,4,0.00022,A
r1-m0-Q17-u-s0,claude-opus-4-6,Q17,unlabeled,0,AB,ok,succeeded,end_turn,A,a,claude-opus-4-6,53,4,0.000182,A
r1-m0-Q17-u-s1,claude-opus-4-6,Q17,unlabeled,1,BA,ok,succeeded,end_turn,A,b,claude-opus-4-6,53,4,0.000182,A
r1-m0-Q17-u-s2,claude-opus-4-6,Q17,unlabeled,2,AB,ok,succeeded,end_turn,A,a,claude-opus-4-6,53,4,0.000182,A
r1-m0-Q17-u-s3,claude-opus-4-6,Q17,unlabeled,3,BA,ok,succeeded,end_turn,A,b,claude-opus-4-6,53,4,0.000182,A
r1-m0-Q18-l-s0,claude-opus-4-6,Q18,labeled,0,AB,ok,succeeded,end_turn,A,a,claude-opus-4-6,67,4,0.000218,A
r1-m0-Q18-l-s1,claude-opus-4-6,Q18,labeled,1,BA,ok,succeeded,end_turn,A,b,claude-opus-4-6,67,4,0.000218,A
r1-m0-Q18-l-s2,claude-opus-4-6,Q18,labeled,2,AB,ok,succeeded,end_turn,A,a,claude-opus-4-6,67,4,0.000218,A
r1-m0-Q18-l-s3,claude-opus-4-6,Q18,labeled,3,BA,ok,succeeded,end_turn,A,b,claude-opus-4-6,67,4,0.000218,A
r1-m0-Q18-u-s0,claude-opus-4-6,Q18,unlabeled,0,AB,ok,succeeded,end_turn,A,a,claude-opus-4-6,52,4,0.00018,A
r1-m0-Q18-u-s1,claude-opus-4-6,Q18,unlabeled,1,BA,ok,succeeded,end_turn,A,b,claude-opus-4-6,52,4,0.00018,A
r1-m0-Q18-u-s2,claude-opus-4-6,Q18,unlabeled,2,AB,ok,succeeded,end_turn,A,a,claude-opus-4-6,52,4,0.00018,A
r1-m0-Q18-u-s3,claude-opus-4-6,Q18,unlabeled,3,BA,ok,succeeded,end_turn,A,b,claude-opus-4-6,52,4,0.00018,A
r1-m0-Q21-l-s0,claude-opus-4-6,Q21,labeled,0,AB,ok,succeeded,end_turn,A,a,claude-opus-4-6,54,4,0.000185,A
r1-m0-Q21-l-s1,claude-opus-4-6,Q21,labeled,1,BA,ok,succeeded,end_turn,B,a,claude-opus-4-6,54,4,0.000185,B
r1-m0-Q21-l-s2,claude-opus-4-6,Q21,labeled,2,AB,ok,succeeded,end_turn,A,a,claude-opus-4-6,54,4,0.000185,A
r1-m0-Q21-l-s3,claude-opus-4-6,Q21,labeled,3,BA,ok,succeeded,end_turn,B,a,claude-opus-4-6,54,4,0.000185,B
r1-m0-Q21-u-s0,claude-opus-4-6,Q21,unlabeled,0,AB,ok,succeeded,end_turn,A,a,claude-opus-4-6,39,4,0.000148,A
r1-m0-Q21-u-s1,claude-opus-4-6,Q21,unlabeled,1,BA,ok,succeeded,end_turn,B,a,claude-opus-4-6,39,4,0.000148,B
r1-m0-Q21-u-s2,claude-opus-4-6,Q21,unlabeled,2,AB,ok,succeeded,end_turn,A,a,claude-opus-4-6,39,4,0.000148,A
r1-m0-Q21-u-s3,claude-opus-4-6,Q21,unlabeled,3,BA,ok,succeeded,end_turn,B,a,claude-opus-4-6,39,4,0.000148,B
r1-m0-Q23-l-s0,claude-opus-4-6,Q23,labeled,0,AB,ok,succeeded,end_turn,A,a,claude-opus-4-6,63,4,0.000208,A
r1-m0-Q23-l-s1,claude-opus-4-6,Q23,labeled,1,BA,ok,succeeded,end_turn,B,a,claude-opus-4-6,63,4,0.000208,B
r1-m0-Q23-l-s2,claude-opus-4-6,Q23,labeled,2,AB,ok,succeeded,end_turn,A,a,claude-opus-4-6,63,4,0.000208,A
r1-m0-Q23-l-s3,claude-opus-4-6,Q23,labeled,3,BA,ok,succeeded,end_turn,B,a,claude-opus-4-6,63,4,0.000208,B
r1-m0-Q23-u-s0,claude-opus-4-6,Q23,unlabeled,0,AB,ok,succeeded,end_turn,A,a,claude-opus-4-6,48,4,0.00017,A
r1-m0-Q23-u-s1,claude-opus-4-6,Q23,unlabeled,1,BA,ok,succeeded,end_turn,B,a,claude-opus-4-6,48,4,0.00017,B
r1-m0-Q23-u-s2,claude-opus-4-6,Q23,unlabeled,2,AB,ok,succeeded,end_turn,A,a,claude-opus-4-6,48,4,0.00017,A
r1-m0-Q23-u-s3,claude-opus-4-6,Q23,unlabeled,3,BA,ok,succeeded,end_turn,B,a,claude-opus-4-6,48,4,0.00017,B
r1-m0-Q26-l-s0,claude-opus-4-6,Q26,labeled,0,AB,ok,succeeded,end_turn,A,a,claude-opus-4-6,64,4,0.00021,A
r1-m0-Q26-l-s1,claude-opus-4-6,Q26,labeled,1,BA,ok,succeeded,end_turn,A,b,claude-opus-4-6,64,4,0.00021,A
r1-m0-Q26-l-s2,claude-opus-4-6,Q26,labeled,2,AB,ok,succeeded,end_turn,A,a,claude-opus-4-6,64,4,0.00021,A
r1-m0-Q26-l-s3,claude-opus-4-6,Q26,labeled,3,BA,ok,succeeded,end_turn,A,b,claude-opus-4-6,64,4,0.00021,A
r1-m0-Q26-u-s0,claude-opus-4-6,Q26,unlabeled,0,AB,ok,succeeded,end_turn,A,a,claude-opus-4-6,49,4,0.000172,A
r1-m0-Q26-u-s1,claude-opus-4-6,Q26,unlabeled,1,BA,ok,succeeded,end_turn,A,b,claude-opus-4-6,49,4,0.000172,A
r1-m0-Q26-u-s2,claude-opus-4-6,Q26,unlabeled,2,AB,ok,succeeded,end_turn,A,a,claude-opus-4-6,49,4,0.000172,A
r1-m0-Q26-u-s3,claude-opus-4-6,Q26,unlabeled,3,BA,ok,succeeded,end_turn,A,b,claude-opus-4-6,49,4,0.000172,A
r1-m0-Q29-l-s0,claude-opus-4-6,Q29,labeled,0,AB,ok,succeeded,end_turn,A,a,claude-opus-4-6,65,4,0.000212,A
r1-m0-Q29-l-s1,claude-opus-4-6,Q29,labeled,1,BA,ok,succeeded,end_turn,A,b,claude-opus-4-6,65,4,0.000212,A
r1-m0-Q29-l-s2,claude-opus-4-6,Q29,labeled,2,AB,ok,succeeded,end_turn,A,a,claude-opus-4-6,65,4,0.000212,A
r1-m0-Q29-l-s3,claude-opus-4-6,Q29,labeled,3,BA,ok,succeeded,end_turn,A,b,claude-opus-4-6,65,4,0.000212,A
r1-m0-Q29-u-s0,claude-opus-4-6,Q29,unlabeled,0,AB,ok,succeeded,end_turn,A,a,claude-opus-4-6,50,4,0.000175,A
r1-m0-Q29-u-s1,claude-opus-4-6,Q29,unlabeled,1,BA,ok,succeeded,end_turn,A,b,claude-opus-4-6,50,4,0.000175,A
r1-m0-Q29-u-s2,claude-opus-4-6,Q29,unlabeled,2,AB,ok,succeeded,end_turn,A,a,claude-opus-4-6,50,4,0.000175,A
r1-m0-Q29-u-s3,claude-opus-4-6,Q29,unlabeled,3,BA,ok,succeeded,end_turn,A,b,claude-opus-4-6,50,4,0.000175,A
r1-m0-Q30-l-s0,claude-opus-4-6,Q30,labeled,0,AB,ok,succeeded,end_turn,B,b,claude-opus-4-6,62,4,0.000205,B
r1-m0-Q30-l-s1,claude-opus-4-6,Q30,labeled,1,BA,ok,succeeded,end_turn,A,b,claude-opus-4-6,62,4,0.000205,A
r1-m0-Q30-l-s2,claude-opus-4-6,Q30,labeled,2,AB,ok,succeeded,end_turn,B,b,claude-opus-4-6,62,4,0.000205,B
r1-m0-Q30-l-s3,claude-opus-4-6,Q30,labeled,3,BA,ok,succeeded,end_turn,A,b,claude-opus-4-6,62,4,0.000205,A
r1-m0-Q30-u-s0,claude-opus-4-6,Q30,unlabeled,0,AB,ok,succeeded,end_turn,B,b,claude-opus-4-6,47,4,0.000168,B
r1-m0-Q30-u-s1,claude-opus-4-6,Q30,unlabeled,1,BA,ok,succeeded,end_turn,A,b,claude-opus-4-6,47,4,0.000168,A
r1-m0-Q30-u-s2,claude-opus-4-6,Q30,unlabeled,2,AB,ok,succeeded,end_turn,B,b,claude-opus-4-6,47,4,0.000168,B
r1-m0-Q30-u-s3,claude-opus-4-6,Q30,unlabeled,3,BA,ok,succeeded,end_turn,A,b,claude-opus-4-6,47,4,0.000168,A
r1-m0-Q31-l-s0,claude-opus-4-6,Q31,labeled,0,AB,ok,succeeded,end_turn,A,a,claude-opus-4-6,54,4,0.000185,A
r1-m0-Q31-l-s1,claude-opus-4-6,Q31,labeled,1,BA,ok,succeeded,end_turn,A,b,claude-opus-4-6,54,4,0.000185,A
r1-m0-Q31-l-s2,claude-opus-4-6,Q31,labeled,2,AB,ok,succeeded,end_turn,A,a,claude-opus-4-6,54,4,0.000185,A
r1-m0-Q31-l-s3,claude-opus-4-6,Q31,labeled,3,BA,ok,succeeded,end_turn,A,b,claude-opus-4-6,54,4,0.000185,A
r1-m0-Q31-u-s0,claude-opus-4-6,Q31,unlabeled,0,AB,ok,succeeded,end_turn,A,a,claude-opus-4-6,39,4,0.000148,A
r1-m0-Q31-u-s1,claude-opus-4-6,Q31,unlabeled,1,BA,ok,succeeded,end_turn,A,b,claude-opus-4-6,39,4,0.000148,A
r1-m0-Q31-u-s2,claude-opus-4-6,Q31,unlabeled,2,AB,ok,succeeded,end_turn,A,a,claude-opus-4-6,39,4,0.000148,A
r1-m0-Q31-u-s3,claude-opus-4-6,Q31,unlabeled,3,BA,ok,succeeded,end_turn,A,b,claude-opus-4-6,39,4,0.000148,A
r1-m0-Q32-l-s0,claude-opus-4-6,Q32,labeled,0,AB,ok,succeeded,end_turn,A,a,claude-opus-4-6,58,4,0.000195,A
r1-m0-Q32-l-s1,claude-opus-4-6,Q32,labeled,1,BA,ok,succeeded,end_turn,B,a,claude-opus-4-6,58,4,0.000195,B
r1-m0-Q32-l-s2,claude-opus-4-6,Q32,labeled,2,AB,ok,succeeded,end_turn,A,a,claude-opus-4-6,58,4,0.000195,A
r1-m0-Q32-l-s3,claude-opus-4-6,Q32,labeled,3,BA,ok,succeeded,end_turn,B,a,claude-opus-4-6,58,4,0.000195,B
r1-m0-Q32-u-s0,claude-opus-4-6,Q32,unlabeled,0,AB,ok,succeeded,end_turn,A,a,claude-opus-4-6,43,4,0.000158,A
r1-m0-Q32-u-s1,claude-opus-4-6,Q32,unlabeled,1,BA,ok,succeeded,end_turn,B,a,claude-opus-4-6,43,4,0.000158,B
r1-m0-Q32-u-s2,claude-opus-4-6,Q32,unlabeled,2,AB,ok,succeeded,end_turn,A,a,claude-opus-4-6,43,4,0.000158,A
r1-m0-Q32-u-s3,claude-opus-4-6,Q32,unlabeled,3,BA,ok,succeeded,end_turn,B,a,claude-opus-4-6,43,4,0.000158,B
r1-m0-Q33-l-s0,claude-opus-4-6,Q33,labeled,0,AB,ok,succeeded,end_turn,B,b,claude-opus-4-6,57,4,0.000192,B
r1-m0-Q33-l-s1,claude-opus-4-6,Q33,labeled,1,BA,ok,succeeded,end_turn,A,b,claude-opus-4-6,57,4,0.000192,A
r1-m0-Q33-l-s2,claude-opus-4-6,Q33,labeled,2,AB,ok,succeeded,end_turn,B,b,claude-opus-4-6,57,4,0.000192,B
r1-m0-Q33-l-s3,claude-opus-4-6,Q33,labeled,3,BA,ok,succeeded,end_turn,A,b,claude-opus-4-6,57,4,0.000192,A
r1-m0-Q33-u-s0,claude-opus-4-6,Q33,unlabeled,0,AB,ok,succeeded,end_turn,A,a,claude-opus-4-6,42,4,0.000155,A
r1-m0-Q33-u-s1,claude-opus-4-6,Q33,unlabeled,1,BA,ok,succeeded,end_turn,A,b,claude-opus-4-6,42,4,0.000155,A
r1-m0-Q33-u-s2,claude-opus-4-6,Q33,unlabeled,2,AB,ok,succeeded,end_turn,A,a,claude-opus-4-6,42,4,0.000155,A
r1-m0-Q33-u-s3,claude-opus-4-6,Q33,unlabeled,3,BA,ok,succeeded,end_turn,A,b,claude-opus-4-6,42,4,0.000155,A
r1-m0-Q35-l-s0,claude-opus-4-6,Q35,labeled,0,AB,ok,succeeded,end_turn,B,b,claude-opus-4-6,58,4,0.000195,B
r1-m0-Q35-l-s1,claude-opus-4-6,Q35,labeled,1,BA,ok,succeeded,end_turn,A,b,claude-opus-4-6,58,4,0.000195,A
r1-m0-Q35-l-s2,claude-opus-4-6,Q35,labeled,2,AB,ok,succeeded,end_turn,B,b,claude-opus-4-6,58,4,0.000195,B
r1-m0-Q35-l-s3,claude-opus-4-6,Q35,labeled,3,BA,ok,succeeded,end_turn,A,b,claude-opus-4-6,58,4,0.000195,A
r1-m0-Q35-u-s0,claude-opus-4-6,Q35,unlabeled,0,AB,ok,succeeded,end_turn,B,b,claude-opus-4-6,43,4,0.000158,B
r1-m0-Q35-u-s1,claude-opus-4-6,Q35,unlabeled,1,BA,ok,succeeded,end_turn,A,b,claude-opus-4-6,43,4,0.000158,A
r1-m0-Q35-u-s2,claude-opus-4-6,Q35,unlabeled,2,AB,ok,succeeded,end_turn,B,b,claude-opus-4-6,43,4,0.000158,B
r1-m0-Q35-u-s3,claude-opus-4-6,Q35,unlabeled,3,BA,ok,succeeded,end_turn,A,b,claude-opus-4-6,43,4,0.000158,A
r1-m0-Q37-l-s0,claude-opus-4-6,Q37,labeled,0,AB,ok,succeeded,end_turn,A,a,claude-opus-4-6,59,4,0.000198,A
r1-m0-Q37-l-s1,claude-opus-4-6,Q37,labeled,1,BA,ok,succeeded,end_turn,A,b,claude-opus-4-6,59,4,0.000198,A
r1-m0-Q37-l-s2,claude-opus-4-6,Q37,labeled,2,AB,ok,succeeded,end_turn,A,a,claude-opus-4-6,59,4,0.000198,A
r1-m0-Q37-l-s3,claude-opus-4-6,Q37,labeled,3,BA,ok,succeeded,end_turn,A,b,claude-opus-4-6,59,4,0.000198,A
r1-m0-Q37-u-s0,claude-opus-4-6,Q37,unlabeled,0,AB,ok,succeeded,end_turn,B,b,claude-opus-4-6,44,4,0.00016,B
r1-m0-Q37-u-s1,claude-opus-4-6,Q37,unlabeled,1,BA,ok,succeeded,end_turn,A,b,claude-opus-4-6,44,4,0.00016,A
r1-m0-Q37-u-s2,claude-opus-4-6,Q37,unlabeled,2,AB,ok,succeeded,end_turn,B,b,claude-opus-4-6,44,4,0.00016,B
r1-m0-Q37-u-s3,claude-opus-4-6,Q37,unlabeled,3,BA,ok,succeeded,end_turn,A,b,claude-opus-4-6,44,4,0.00016,A
r1-m0-Q38-l-s0,claude-opus-4-6,Q38,labeled,0,AB,ok,succeeded,end_turn,A,a,claude-opus-4-6,55,4,0.000188,A
r1-m0-Q38-l-s1,claude-opus-4-6,Q38,labeled,1,BA,ok,succeeded,end_turn,B,a,claude-opus-4-6,55,4,0.000188,B
r1-m0-Q38-l-s2,claude-opus-4-6,Q38,labeled,2,AB,ok,succeeded,end_turn,A,a,claude-opus-4-6,55,4,0.000188,A
r1-m0-Q38-l-s3,claude-opus-4-6,Q38,labeled,3,BA,ok,succeeded,end_turn,B,a,claude-opus-4-6,55,4,0.000188,B
r1-m0-Q38-u-s0,claude-opus-4-6,Q38,unlabeled,0,AB,ok,succeeded,end_turn,A,a,claude-opus-4-6,40,4,0.00015,A
r1-m0-Q38-u-s1,claude-opus-4-6,Q38,unlabeled,1,BA,ok,succeeded,end_turn,B,a,claude-opus-4-6,40,4,0.00015,B
r1-m0-Q38-u-s2,claude-opus-4-6,Q38,unlabeled,2,AB,ok,succeeded,end_turn,A,a,claude-opus-4-6,40,4,0.00015,A
r1-m0-Q38-u-s3,claude-opus-4-6,Q38,unlabeled,3,BA,ok,succeeded,end_turn,B,a,claude-opus-4-6,40,4,0.00015,B
r1-m0-Q39-l-s0,claude-opus-4-6,Q39,labeled,0,AB,ok,succeeded,end_turn,A,a,claude-opus-4-6,54,4,0.000185,A
r1-m0-Q39-l-s1,claude-opus-4-6,Q39,labeled,1,BA,ok,succeeded,end_turn,B,a,claude-opus-4-6,54,4,0.000185,B
r1-m0-Q39-l-s2,claude-opus-4-6,Q39,labeled,2,AB,ok,succeeded,end_turn,A,a,claude-opus-4-6,54,4,0.000185,A
r1-m0-Q39-l-s3,claude-opus-4-6,Q39,labeled,3,BA,ok,succeeded,end_turn,B,a,claude-opus-4-6,54,4,0.000185,B
